app_pk,to_char,max
64193,2020-03,65
64193,2020-04,200
64193,2020-05,382
64321,2019-11,2
64321,2019-12,9612
64321,2020-01,10238
64321,2020-02,2933
64635,2019-11,5
64635,2019-12,276
64635,2020-01,276
64635,2020-02,94
64635,2020-03,90
64635,2020-04,164
64635,2020-05,165
64666,2019-11,658
64666,2019-12,665
64666,2020-01,668
64666,2020-02,727
64666,2020-03,727
64666,2020-04,42
64666,2020-05,57
64667,2019-11,10
64667,2019-12,83
64667,2020-01,125
64667,2020-02,116
64667,2020-03,88
64667,2020-04,47
64667,2020-05,37
64763,2019-11,165
64763,2019-12,6103
64763,2020-01,6162
64763,2020-02,4047
64763,2020-03,3327
64763,2020-04,4823
64763,2020-05,4718
65036,2020-01,9
65036,2020-02,515
65036,2020-03,529
65036,2020-04,74
65036,2020-05,35
65188,2019-12,104
65188,2020-01,124
65188,2020-02,90
65188,2020-03,55
65188,2020-04,55
65188,2020-05,41
65189,2019-12,172
65189,2020-01,230
65189,2020-02,237
65189,2020-03,144
65189,2020-04,148
65189,2020-05,178
65263,2019-12,42
65263,2020-01,120
65263,2020-02,127
65263,2020-03,162
65263,2020-04,177
65263,2020-05,199
65290,2020-01,14
65290,2020-02,85
65290,2020-03,179
65290,2020-04,205
65290,2020-05,127
65386,2019-12,59
65386,2020-01,67
65386,2020-02,162
65386,2020-03,161
65386,2020-04,79
65386,2020-05,94
65454,2019-12,802
65454,2020-01,2653
65454,2020-02,3878
65454,2020-03,4017
65454,2020-04,2475
65454,2020-05,629
65690,2020-01,3778
65690,2020-02,4698
65690,2020-03,4505
65690,2020-04,10001
65690,2020-05,11022
65866,2020-01,566
65866,2020-02,566
65866,2020-04,1
65866,2020-05,1
65953,2019-12,4
65953,2020-01,83
65953,2020-02,89
65953,2020-03,79
65953,2020-04,449
65953,2020-05,954
65999,2019-12,7
65999,2020-01,30
65999,2020-02,102
65999,2020-03,104
65999,2020-04,17
66017,2019-12,1
66017,2020-01,86
66017,2020-02,209
66017,2020-03,166
66546,2019-12,2
66546,2020-01,5
66546,2020-02,5
66546,2020-03,110
66546,2020-04,124
66546,2020-05,36
66627,2019-12,1
66627,2020-01,8374
66627,2020-02,8382
66627,2020-03,24448
66627,2020-04,50981
66627,2020-05,53437
66966,2020-01,9763
66966,2020-02,16263
66966,2020-03,16870
66966,2020-04,14619
66966,2020-05,18608
67019,2020-01,590
67019,2020-02,590
67019,2020-03,1
67021,2020-03,5276
67021,2020-04,16951
67021,2020-05,17621
67163,2020-01,117
67163,2020-02,118
67163,2020-03,24
67163,2020-04,40
67163,2020-05,64
67583,2020-01,34
67583,2020-02,74
67583,2020-03,63
67583,2020-04,538
67583,2020-05,643
67602,2020-02,52
67602,2020-03,57
67602,2020-04,48
67602,2020-05,154
67708,2020-01,7
67708,2020-02,190
67708,2020-03,461
67708,2020-04,697
67708,2020-05,906
67735,2020-01,25
67735,2020-02,71
67735,2020-03,1257
67735,2020-04,1547
67735,2020-05,1692
67751,2020-01,14
67751,2020-02,18
67751,2020-03,228
67751,2020-04,724
67751,2020-05,675
67851,2020-01,10
67851,2020-02,42
67851,2020-03,96
67851,2020-04,120
67851,2020-05,85
67855,2020-01,13
67855,2020-02,21
67855,2020-03,588
67855,2020-04,2414
67855,2020-05,2532
67902,2020-01,28
67902,2020-02,72
67902,2020-03,82
67902,2020-04,137
67902,2020-05,78
68158,2020-02,4
68158,2020-03,125
68158,2020-04,125
68158,2020-05,43
68195,2020-03,4
68195,2020-04,14
68195,2020-05,105
68276,2020-01,29
68276,2020-02,47
68276,2020-03,38
68276,2020-05,182
68657,2020-02,181
68657,2020-03,181
68657,2020-04,1
68657,2020-05,1
68730,2020-01,3
68730,2020-02,171
68730,2020-03,168
68792,2020-01,1004
68792,2020-02,1004
68792,2020-03,1
68913,2020-01,36
68913,2020-02,6664
68913,2020-03,6664
68913,2020-04,1802
68913,2020-05,1802
68926,2020-02,291
68926,2020-03,313
68926,2020-04,46
68926,2020-05,16
68938,2020-03,276
68938,2020-04,794
68938,2020-05,826
69317,2020-02,51
69317,2020-03,161
69317,2020-04,185
69317,2020-05,164
69587,2020-05,5736
69772,2020-02,3
69772,2020-03,37
69772,2020-04,95
69772,2020-05,102
69902,2020-02,7
69902,2020-03,188
69902,2020-04,202
69902,2020-05,94
69929,2020-02,27
69929,2020-03,54
69929,2020-04,88
69929,2020-05,147
70322,2020-02,9
70322,2020-03,69
70322,2020-04,171
70322,2020-05,153
70341,2020-02,11
70341,2020-03,372
70341,2020-04,369
70365,2020-03,39
70365,2020-04,1769
70365,2020-05,2246
70481,2020-02,17726
70481,2020-03,17726
70844,2020-02,462
70844,2020-03,1060
70844,2020-04,599
70857,2020-02,6
70857,2020-03,220
70857,2020-04,2828
70857,2020-05,4336
70864,2020-02,10
70864,2020-03,186
70864,2020-04,189
70864,2020-05,32
71351,2020-03,646
71351,2020-04,1062
71351,2020-05,540
71425,2020-03,742
71425,2020-04,746
71425,2020-05,27
71593,2020-03,3119
71593,2020-04,3129
71593,2020-05,97
71642,2020-03,24
71642,2020-04,269
71642,2020-05,379
71753,2020-03,20
71753,2020-04,50
71753,2020-05,149
72162,2020-03,64
72162,2020-04,872
72162,2020-05,1173
72207,2020-03,7
72207,2020-04,468
72207,2020-05,533
72413,2020-03,105
72413,2020-04,173
72413,2020-05,179
72417,2020-03,108
72417,2020-04,223
72417,2020-05,235
72418,2020-03,132
72418,2020-04,267
72418,2020-05,271
72579,2020-03,1961
72579,2020-04,2714
72579,2020-05,863
